method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_correct,eval_total,eval_f1
lora,roberta-base,rte,789,2000,accuracy,0.740072202166065,887042,0.7066137476531099,10.0,0.740072202166065,0.7692992687225342,,0.740072202166065,1.2353,224.237,14.571,,,
lora,roberta-base,rte,789,5000,accuracy,0.7509025270758123,887042,0.7066137476531099,10.0,0.7509025270758123,0.7752426862716675,,0.7509025270758123,0.6632,417.653,27.14,,,
topheavy_lora,roberta-base,rte,1024,50,accuracy,0.5270758122743683,887042,0.7066137476531099,10.0,0.5270758122743683,0.7034158706665039,,0.5270758122743683,1.09,254.125,16.514,,,
topheavy_lora,roberta-base,rte,1024,100,accuracy,0.5451263537906137,887042,0.7066137476531099,10.0,0.5451263537906137,0.6884130835533142,,0.5451263537906137,1.3451,205.939,13.382,,,
topheavy_lora,roberta-base,rte,1024,200,accuracy,0.5595667870036101,887042,0.7066137476531099,10.0,0.5595667870036101,0.7129243612289429,,0.5595667870036101,1.5576,177.833,11.556,,,
topheavy_lora,roberta-base,rte,1024,500,accuracy,0.5956678700361011,887042,0.7066137476531099,10.0,0.5956678700361011,0.937140941619873,,0.5956678700361011,1.1401,242.962,15.788,,,
topheavy_lora,roberta-base,rte,1024,1000,accuracy,0.6642599277978339,887042,0.7066137476531099,10.0,0.6642599277978339,0.8077806830406189,,0.6642599277978339,1.3429,206.271,13.404,,,
topheavy_lora,roberta-base,rte,1024,2000,accuracy,0.7292418772563177,887042,0.7066137476531099,10.0,0.7292418772563177,0.8183476328849792,,0.7292418772563177,0.9784,283.123,18.398,,,
topheavy_lora,roberta-base,rte,1024,5000,accuracy,0.7472924187725631,887042,0.7066137476531099,10.0,0.7472924187725631,0.8504372239112854,,0.7472924187725631,0.4376,633.017,41.135,,,
topheavy_lora,roberta-base,rte,123,50,accuracy,0.5451263537906137,887042,0.7066137476531099,10.0,0.5451263537906137,0.6919897198677063,,0.5451263537906137,3.4729,79.761,5.183,,,
topheavy_lora,roberta-base,rte,123,100,accuracy,0.4981949458483754,887042,0.7066137476531099,10.0,0.4981949458483754,0.7458584308624268,,0.4981949458483754,1.2928,214.267,13.923,,,
topheavy_lora,roberta-base,rte,123,200,accuracy,0.5487364620938628,887042,0.7066137476531099,10.0,0.5487364620938628,0.6961797475814819,,0.5487364620938628,1.3167,210.37,13.67,,,
topheavy_lora,roberta-base,rte,123,500,accuracy,0.6064981949458483,887042,0.7066137476531099,10.0,0.6064981949458483,0.9000928997993469,,0.6064981949458483,1.5378,180.133,11.705,,,
topheavy_lora,roberta-base,rte,123,1000,accuracy,0.6714801444043321,887042,0.7066137476531099,10.0,0.6714801444043321,0.883612871170044,,0.6714801444043321,1.1081,249.967,16.243,,,
topheavy_lora,roberta-base,rte,123,2000,accuracy,0.7184115523465704,887042,0.7066137476531099,10.0,0.7184115523465704,0.7767688632011414,,0.7184115523465704,1.1135,248.773,16.166,,,
topheavy_lora,roberta-base,rte,123,5000,accuracy,0.7545126353790613,887042,0.7066137476531099,10.0,0.7545126353790613,0.8206932544708252,,0.7545126353790613,0.4269,648.875,42.165,,,
topheavy_lora,roberta-base,rte,42,50,accuracy,0.5306859205776173,887042,0.7066137476531099,10.0,0.5306859205776173,0.6905072331428528,,0.5306859205776173,1.1553,239.761,15.58,,,
topheavy_lora,roberta-base,rte,42,100,accuracy,0.5054151624548736,887042,0.7066137476531099,10.0,0.5054151624548736,0.6888379454612732,,0.5054151624548736,1.5587,177.709,11.548,,,
topheavy_lora,roberta-base,rte,42,200,accuracy,0.5018050541516246,887042,0.7066137476531099,10.0,0.5018050541516246,0.8260942101478577,,0.5018050541516246,1.5183,182.436,11.855,,,
topheavy_lora,roberta-base,rte,42,500,accuracy,0.6570397111913358,887042,0.7066137476531099,10.0,0.6570397111913358,0.8992651104927063,,0.6570397111913358,1.5701,176.418,11.464,,,
topheavy_lora,roberta-base,rte,42,1000,accuracy,0.6787003610108303,887042,0.7066137476531099,10.0,0.6787003610108303,0.8891111016273499,,0.6787003610108303,1.1086,249.867,16.237,,,
topheavy_lora,roberta-base,rte,42,2000,accuracy,0.7220216606498195,887042,0.7066137476531099,10.0,0.7220216606498195,0.8268845081329346,,0.7220216606498195,1.3393,206.829,13.44,,,
topheavy_lora,roberta-base,rte,42,5000,accuracy,0.740072202166065,887042,0.7066137476531099,10.0,0.740072202166065,0.6917449235916138,,0.740072202166065,0.6498,426.303,27.702,,,
topheavy_lora,roberta-base,rte,456,50,accuracy,0.5415162454873647,887042,0.7066137476531099,10.0,0.5415162454873647,0.6919174194335938,,0.5415162454873647,1.3279,208.594,13.555,,,
topheavy_lora,roberta-base,rte,456,100,accuracy,0.51985559566787,887042,0.7066137476531099,10.0,0.51985559566787,0.6950939297676086,,0.51985559566787,1.4607,189.638,12.323,,,
topheavy_lora,roberta-base,rte,456,200,accuracy,0.5342960288808665,887042,0.7066137476531099,10.0,0.5342960288808665,0.6946765780448914,,0.5342960288808665,1.2113,228.685,14.86,,,
topheavy_lora,roberta-base,rte,456,500,accuracy,0.6570397111913358,887042,0.7066137476531099,10.0,0.6570397111913358,0.8806145191192627,,0.6570397111913358,1.388,199.57,12.968,,,
topheavy_lora,roberta-base,rte,456,1000,accuracy,0.7075812274368231,887042,0.7066137476531099,10.0,0.7075812274368231,0.7731082439422607,,0.7075812274368231,1.1744,235.875,15.328,,,
topheavy_lora,roberta-base,rte,456,2000,accuracy,0.7509025270758123,887042,0.7066137476531099,10.0,0.7509025270758123,0.6785270571708679,,0.7509025270758123,1.3307,208.155,13.526,,,
topheavy_lora,roberta-base,rte,456,5000,accuracy,0.7364620938628159,887042,0.7066137476531099,10.0,0.7364620938628159,0.8552067875862122,,0.7364620938628159,0.4117,672.894,43.726,,,
topheavy_lora,roberta-base,rte,789,50,accuracy,0.4729241877256318,887042,0.7066137476531099,10.0,0.4729241877256318,0.7087798714637756,,0.4729241877256318,1.2573,220.319,14.317,,,
topheavy_lora,roberta-base,rte,789,100,accuracy,0.5126353790613718,887042,0.7066137476531099,10.0,0.5126353790613718,0.6911435723304749,,0.5126353790613718,1.4659,188.956,12.279,,,
topheavy_lora,roberta-base,rte,789,200,accuracy,0.5776173285198556,887042,0.7066137476531099,10.0,0.5776173285198556,0.6865710020065308,,0.5776173285198556,1.4066,196.934,12.797,,,
topheavy_lora,roberta-base,rte,789,500,accuracy,0.5667870036101083,887042,0.7066137476531099,10.0,0.5667870036101083,0.9297751784324646,,0.5667870036101083,1.7479,158.479,10.298,,,
topheavy_lora,roberta-base,rte,789,1000,accuracy,0.7003610108303249,887042,0.7066137476531099,10.0,0.7003610108303249,0.8065434098243713,,0.7003610108303249,1.1204,247.232,16.066,,,
topheavy_lora,roberta-base,rte,789,2000,accuracy,0.7148014440433214,887042,0.7066137476531099,10.0,0.7148014440433214,0.7513982057571411,,0.7148014440433214,0.982,282.089,18.331,,,
topheavy_lora,roberta-base,rte,789,5000,accuracy,0.7617328519855595,887042,0.7066137476531099,10.0,0.7617328519855595,0.7844263911247253,,0.7617328519855595,0.4107,674.537,43.833,,,
bitfit,bert-base-uncased,sst2,1024,50,accuracy,0.5149082568807339,104450,0.09540226132861436,10.0,0.5149082568807339,0.7031524181365967,,0.5149082568807339,2.1924,397.743,25.087,,,
bitfit,bert-base-uncased,sst2,1024,100,accuracy,0.5194954128440367,104450,0.09540226132861436,10.0,0.5194954128440367,0.6798174381256104,,0.5194954128440367,3.4378,253.649,15.998,,,
bitfit,bert-base-uncased,sst2,1024,200,accuracy,0.6330275229357798,104450,0.09540226132861436,10.0,0.6330275229357798,0.6239600777626038,,0.6330275229357798,4.0085,217.539,13.721,,,
bitfit,bert-base-uncased,sst2,1024,500,accuracy,0.8153669724770642,104450,0.09540226132861436,10.0,0.8153669724770642,0.437736451625824,,0.8153669724770642,3.8333,227.481,14.348,,,
bitfit,bert-base-uncased,sst2,1024,1000,accuracy,0.8405963302752294,104450,0.09540226132861436,10.0,0.8405963302752294,0.4291233420372009,,0.8405963302752294,3.6704,237.577,14.985,,,
bitfit,bert-base-uncased,sst2,1024,2000,accuracy,0.8646788990825688,104450,0.09540226132861436,10.0,0.8646788990825688,0.351399302482605,,0.8646788990825688,3.2565,267.775,16.889,,,
bitfit,bert-base-uncased,sst2,1024,5000,accuracy,0.8830275229357798,104450,0.09540226132861436,10.0,0.8830275229357798,0.31023409962654114,,0.8830275229357798,2.7783,313.862,19.796,,,
